size,price,date
270,121000,2026-02-11
280,111000,2026-02-11
260,118000,2026-02-11
255,122000,2026-02-11
280,111000,2026-02-11
260,118000,2026-02-11
270,122000,2026-02-11
275,112000,2026-02-11
275,112000,2026-02-11
275,112000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
280,117000,2026-02-11
270,121000,2026-02-11
270,120000,2026-02-11
270,121000,2026-02-11
300,107000,2026-02-11
260,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
275,112000,2026-02-11
265,119000,2026-02-11
265,119000,2026-02-11
265,115000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,122000,2026-02-11
270,122000,2026-02-11
270,122000,2026-02-11
270,122000,2026-02-11
280,117000,2026-02-11
270,122000,2026-02-11
270,122000,2026-02-11
260,118000,2026-02-11
270,122000,2026-02-11
255,122000,2026-02-11
270,122000,2026-02-11
270,121000,2026-02-11
270,120000,2026-02-11
275,119000,2026-02-11
270,122000,2026-02-11
280,118000,2026-02-11
270,120000,2026-02-11
270,121000,2026-02-11
265,119000,2026-02-11
260,118000,2026-02-11
270,120000,2026-02-11
275,119000,2026-02-11
280,118000,2026-02-11
260,118000,2026-02-11
270,120000,2026-02-11
265,120000,2026-02-11
280,119000,2026-02-11
270,120000,2026-02-11
265,119000,2026-02-11
270,120000,2026-02-11
280,118000,2026-02-11
270,120000,2026-02-11
275,112000,2026-02-11
270,120000,2026-02-11
270,120000,2026-02-11
270,120000,2026-02-11
265,120000,2026-02-11
270,120000,2026-02-11
270,120000,2026-02-11
260,118000,2026-02-11
275,118000,2026-02-11
280,117000,2026-02-11
280,117000,2026-02-11
295,125000,2026-02-11
290,113000,2026-02-11
260,118000,2026-02-11
255,122000,2026-02-11
245,139000,2026-02-11
285,112000,2026-02-11
270,121000,2026-02-11
265,119000,2026-02-11
280,118000,2026-02-11
275,119000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,120000,2026-02-11
260,117000,2026-02-11
265,118000,2026-02-11
260,113000,2026-02-11
270,120000,2026-02-11
270,120000,2026-02-11
265,119000,2026-02-11
265,119000,2026-02-11
250,125000,2026-02-11
255,124000,2026-02-11
270,121000,2026-02-11
265,115000,2026-02-11
285,112000,2026-02-11
280,111000,2026-02-11
270,122000,2026-02-11
275,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
250,124000,2026-02-11
270,121000,2026-02-11
265,119000,2026-02-11
260,118000,2026-02-11
275,118000,2026-02-11
280,117000,2026-02-11
240,131000,2026-02-11
290,107000,2026-02-11
280,111000,2026-02-11
265,119000,2026-02-11
270,118000,2026-02-11
275,118000,2026-02-11
260,118000,2026-02-11
265,115000,2026-02-11
270,121000,2026-02-11
280,117000,2026-02-11
265,120000,2026-02-11
275,119000,2026-02-11
280,111000,2026-02-11
280,107000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
260,118000,2026-02-11
270,121000,2026-02-11
245,138000,2026-02-11
270,121000,2026-02-11
260,114000,2026-02-11
270,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
280,117000,2026-02-11
270,122000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,122000,2026-02-11
260,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,122000,2026-02-11
270,122000,2026-02-11
270,121000,2026-02-11
270,120000,2026-02-11
280,117000,2026-02-11
270,121000,2026-02-11
260,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
275,118000,2026-02-11
270,116000,2026-02-11
275,112000,2026-02-11
275,119000,2026-02-11
280,111000,2026-02-11
270,118000,2026-02-11
270,121000,2026-02-11
270,121000,2026-02-11
270,122000,2026-02-11
270,118000,2026-02-11
270,121000,2026-02-11
275,118000,2026-02-11
260,118000,2026-02-11
270,121000,2026-02-11
295,113000,2026-02-11
285,112000,2026-02-11
275,112000,2026-02-11
290,112000,2026-02-11
290,112000,2026-02-11
285,112000,2026-02-11
265,119000,2026-02-11
