size,price,date
265,129000,2026-02-08
280,134000,2026-02-08
270,129000,2026-02-08
270,129000,2026-02-08
270,129000,2026-02-08
260,126000,2026-02-08
260,120000,2026-02-08
265,128000,2026-02-08
250,129000,2026-02-08
255,127000,2026-02-08
270,129000,2026-02-08
280,135000,2026-02-08
270,129000,2026-02-08
270,129000,2026-02-08
270,128000,2026-02-08
260,125000,2026-02-08
255,127000,2026-02-08
225,138000,2026-02-08
280,135000,2026-02-08
260,126000,2026-02-08
260,126000,2026-02-08
270,129000,2026-02-08
260,122000,2026-02-08
245,161000,2026-02-08
260,121000,2026-02-08
260,121000,2026-02-08
255,127000,2026-02-08
270,125000,2026-02-08
270,129000,2026-02-08
260,126000,2026-02-08
270,129000,2026-02-08
260,126000,2026-02-08
265,129000,2026-02-08
265,130000,2026-02-08
270,129000,2026-02-08
275,130000,2026-02-08
280,134000,2026-02-08
275,130000,2026-02-08
270,124000,2026-02-08
270,129000,2026-02-08
270,124000,2026-02-08
270,129000,2026-02-08
285,151000,2026-02-08
265,126000,2026-02-08
265,130000,2026-02-08
250,128000,2026-02-08
280,133000,2026-02-08
270,128000,2026-02-08
265,130000,2026-02-08
270,129000,2026-02-08
265,130000,2026-02-08
290,157000,2026-02-08
260,126000,2026-02-08
280,134000,2026-02-08
270,129000,2026-02-08
280,133000,2026-02-08
260,126000,2026-02-08
250,128000,2026-02-08
255,126000,2026-02-08
275,129000,2026-02-08
265,130000,2026-02-08
280,134000,2026-02-08
280,134000,2026-02-08
265,129000,2026-02-08
295,177000,2026-02-08
260,126000,2026-02-08
250,129000,2026-02-08
280,135000,2026-02-08
275,129000,2026-02-08
270,128000,2026-02-08
250,128000,2026-02-08
270,128000,2026-02-08
270,127000,2026-02-08
270,127000,2026-02-08
260,126000,2026-02-08
260,120000,2026-02-08
260,120000,2026-02-08
260,120000,2026-02-08
270,128000,2026-02-08
260,126000,2026-02-08
265,129000,2026-02-08
270,128000,2026-02-08
280,137000,2026-02-08
270,124000,2026-02-08
270,127000,2026-02-08
270,127000,2026-02-08
280,137000,2026-02-08
250,128000,2026-02-08
265,128000,2026-02-08
260,125000,2026-02-08
255,126000,2026-02-08
280,147000,2026-02-08
260,125000,2026-02-08
265,128000,2026-02-08
300,191000,2026-02-08
280,136000,2026-02-08
275,130000,2026-02-08
240,157000,2026-02-08
270,127000,2026-02-08
280,135000,2026-02-08
225,137000,2026-02-08
270,129000,2026-02-08
260,126000,2026-02-08
280,136000,2026-02-08
280,135000,2026-02-08
270,129000,2026-02-08
265,126000,2026-02-08
260,121000,2026-02-08
270,129000,2026-02-08
275,128000,2026-02-08
265,128000,2026-02-08
270,128000,2026-02-08
255,127000,2026-02-08
270,124000,2026-02-08
265,129000,2026-02-08
275,130000,2026-02-08
270,128000,2026-02-08
270,127000,2026-02-08
270,128000,2026-02-08
265,128000,2026-02-08
260,126000,2026-02-08
275,130000,2026-02-08
270,128000,2026-02-08
240,155000,2026-02-08
265,128000,2026-02-08
275,130000,2026-02-08
265,129000,2026-02-08
270,128000,2026-02-08
250,129000,2026-02-08
280,135000,2026-02-08
250,130000,2026-02-09
290,154000,2026-02-09
295,187000,2026-02-09
280,135000,2026-02-09
275,130000,2026-02-09
270,127000,2026-02-09
260,127000,2026-02-09
275,130000,2026-02-09
250,129000,2026-02-09
255,128000,2026-02-09
270,127000,2026-02-09
255,124000,2026-02-09
235,169000,2026-02-09
265,130000,2026-02-09
270,127000,2026-02-09
280,135000,2026-02-09
265,129000,2026-02-09
270,127000,2026-02-09
260,126000,2026-02-09
265,130000,2026-02-09
270,127000,2026-02-09
270,127000,2026-02-09
270,127000,2026-02-09
260,126000,2026-02-09
265,127000,2026-02-09
280,136000,2026-02-09
270,127000,2026-02-09
280,135000,2026-02-09
260,126000,2026-02-09
260,126000,2026-02-09
280,135000,2026-02-09
270,126000,2026-02-09
270,127000,2026-02-09
275,130000,2026-02-09
275,130000,2026-02-09
290,145000,2026-02-09
260,126000,2026-02-09
265,130000,2026-02-09
260,126000,2026-02-09
275,130000,2026-02-09
255,128000,2026-02-09
260,126000,2026-02-09
270,127000,2026-02-09
270,126000,2026-02-09
270,127000,2026-02-09
275,130000,2026-02-09
260,127000,2026-02-09
270,128000,2026-02-09
260,126000,2026-02-09
265,130000,2026-02-09
275,130000,2026-02-09
280,136000,2026-02-09
260,126000,2026-02-09
280,136000,2026-02-09
280,136000,2026-02-09
270,128000,2026-02-09
255,129000,2026-02-09
255,129000,2026-02-09
265,130000,2026-02-09
265,130000,2026-02-09
275,130000,2026-02-09
270,128000,2026-02-09
265,130000,2026-02-09
270,128000,2026-02-09
260,126000,2026-02-09
300,154000,2026-02-09
270,127000,2026-02-09
250,130000,2026-02-09
290,154000,2026-02-09
235,170000,2026-02-09
285,154000,2026-02-09
280,135000,2026-02-09
265,129000,2026-02-09
