size,price,date
W225,111000,2026-01-12
W235,102000,2026-01-12
W230,100000,2026-01-12
W225,111000,2026-01-12
W250,103000,2026-01-12
W250,103000,2026-01-12
W245,105000,2026-01-12
W255,107000,2026-01-12
W245,105000,2026-01-12
W240,100000,2026-01-12
W245,105000,2026-01-12
W245,105000,2026-01-12
W230,100000,2026-01-12
W230,100000,2026-01-12
W225,111000,2026-01-12
W220,118000,2026-01-12
W230,101000,2026-01-12
W230,102000,2026-01-12
W240,100000,2026-01-12
W250,103000,2026-01-12
W245,105000,2026-01-12
W240,97000,2026-01-12
W255,104000,2026-01-12
W240,100000,2026-01-12
W235,104000,2026-01-12
W250,103000,2026-01-12
W240,97000,2026-01-12
W225,111000,2026-01-12
W245,106000,2026-01-12
W245,105000,2026-01-12
W235,104000,2026-01-12
W230,100000,2026-01-12
W235,101000,2026-01-12
W250,105000,2026-01-12
W245,105000,2026-01-12
W245,105000,2026-01-12
W245,106000,2026-01-12
W250,109000,2026-01-12
W230,100000,2026-01-12
W240,99000,2026-01-12
W235,104000,2026-01-12
W240,99000,2026-01-12
W230,100000,2026-01-12
W255,101000,2026-01-12
W240,98000,2026-01-12
W245,105000,2026-01-12
W240,99000,2026-01-12
W240,98000,2026-01-12
W240,98000,2026-01-12
W225,111000,2026-01-12
W235,104000,2026-01-12
W245,105000,2026-01-12
W235,104000,2026-01-12
W240,99000,2026-01-12
W235,105000,2026-01-12
W235,105000,2026-01-12
W225,111000,2026-01-12
W230,100000,2026-01-12
W235,104000,2026-01-12
W240,98000,2026-01-12
W235,105000,2026-01-12
W250,103000,2026-01-13
W255,109000,2026-01-13
W225,109000,2026-01-13
W240,101000,2026-01-13
W235,101000,2026-01-13
W235,101000,2026-01-13
W235,102000,2026-01-13
W235,101000,2026-01-13
W230,107000,2026-01-13
W240,97000,2026-01-13
W240,101000,2026-01-13
W230,104000,2026-01-13
W275,155000,2026-01-13
W230,106000,2026-01-13
W235,102000,2026-01-13
W225,109000,2026-01-13
W240,102000,2026-01-13
W245,105000,2026-01-13
W245,105000,2026-01-13
W235,101000,2026-01-13
W240,102000,2026-01-13
W235,101000,2026-01-13
W240,101000,2026-01-13
W235,101000,2026-01-13
W240,101000,2026-01-13
W225,109000,2026-01-13
W250,103000,2026-01-13
W240,101000,2026-01-13
W240,100000,2026-01-13
W240,100000,2026-01-13
W230,107000,2026-01-13
W230,107000,2026-01-13
W240,100000,2026-01-13
W240,101000,2026-01-13
W235,100000,2026-01-13
W240,101000,2026-01-13
W235,100000,2026-01-13
W240,100000,2026-01-13
W240,100000,2026-01-13
W235,104000,2026-01-13
W230,103000,2026-01-13
W255,108000,2026-01-13
W245,105000,2026-01-13
W235,104000,2026-01-13
W240,100000,2026-01-13
W245,105000,2026-01-13
W240,100000,2026-01-13
W245,105000,2026-01-13
W255,98000,2026-01-13
W240,100000,2026-01-13
W240,100000,2026-01-13
W275,133000,2026-01-13
W240,100000,2026-01-13
W225,109000,2026-01-13
W245,105000,2026-01-13
W250,103000,2026-01-13
W245,105000,2026-01-13
W250,103000,2026-01-13
W240,101000,2026-01-13
W250,103000,2026-01-13
W235,100000,2026-01-13
W240,100000,2026-01-13
W240,100000,2026-01-13
W235,100000,2026-01-13
W235,102000,2026-01-13
W235,102000,2026-01-13
W230,105000,2026-01-13
W235,102000,2026-01-13
W230,104000,2026-01-13
W225,108000,2026-01-13
W220,109000,2026-01-13
W235,101000,2026-01-13
W250,103000,2026-01-14
W235,100000,2026-01-14
W220,127000,2026-01-14
W265,140000,2026-01-14
W235,101000,2026-01-14
W230,107000,2026-01-14
W245,105000,2026-01-14
W240,100000,2026-01-14
W230,109000,2026-01-14
W240,101000,2026-01-14
W250,103000,2026-01-14
W245,105000,2026-01-14
W235,100000,2026-01-14
W235,101000,2026-01-14
W250,103000,2026-01-14
W240,99000,2026-01-14
W235,100000,2026-01-14
W225,110000,2026-01-14
W240,101000,2026-01-14
W225,109000,2026-01-14
W240,100000,2026-01-14
W225,109000,2026-01-14
W235,101000,2026-01-14
W225,109000,2026-01-14
W230,109000,2026-01-14
W220,127000,2026-01-14
W235,101000,2026-01-14
W235,100000,2026-01-14
W245,105000,2026-01-14
W230,109000,2026-01-14
W230,109000,2026-01-14
W250,103000,2026-01-14
W230,109000,2026-01-14
W240,101000,2026-01-14
W230,108000,2026-01-14
W240,101000,2026-01-14
W240,100000,2026-01-14
W250,100000,2026-01-15
W230,109000,2026-01-15
W245,105000,2026-01-15
W240,101000,2026-01-15
W245,105000,2026-01-15
W240,101000,2026-01-15
W240,101000,2026-01-15
