size,price,date
W260,139000,2026-01-09
W235,130000,2026-01-09
W260,144000,2026-01-09
W240,135000,2026-01-09
W270,158000,2026-01-09
W240,135000,2026-01-09
W230,128000,2026-01-09
W230,122000,2026-01-09
W265,145000,2026-01-09
W240,121000,2026-01-09
W275,182000,2026-01-09
W275,142000,2026-01-09
W250,149000,2026-01-09
W230,129000,2026-01-09
W245,120000,2026-01-09
W285,173000,2026-01-09
W270,158000,2026-01-09
W235,130000,2026-01-09
W240,134000,2026-01-09
W255,147000,2026-01-09
W250,143000,2026-01-09
W240,134000,2026-01-09
W250,143000,2026-01-09
W265,144000,2026-01-09
W260,140000,2026-01-09
W240,134000,2026-01-09
W235,119000,2026-01-09
W245,120000,2026-01-09
W260,141000,2026-01-09
W245,120000,2026-01-09
W245,120000,2026-01-09
W245,120000,2026-01-09
W240,135000,2026-01-09
W235,119000,2026-01-09
W240,132000,2026-01-10
W235,118000,2026-01-10
W235,129000,2026-01-10
W245,121000,2026-01-10
W270,158000,2026-01-10
W255,147000,2026-01-10
W290,190000,2026-01-10
W225,105000,2026-01-10
W250,157000,2026-01-10
W235,129000,2026-01-10
W250,143000,2026-01-10
W245,119000,2026-01-10
W245,120000,2026-01-10
W255,147000,2026-01-10
W250,150000,2026-01-10
W250,149000,2026-01-10
W245,121000,2026-01-10
W245,121000,2026-01-10
W250,156000,2026-01-10
W265,146000,2026-01-11
W230,128000,2026-01-11
W275,183000,2026-01-11
W260,143000,2026-01-11
W260,144000,2026-01-11
W265,137000,2026-01-11
W260,145000,2026-01-11
W240,131000,2026-01-11
W235,130000,2026-01-11
W270,159000,2026-01-11
W230,128000,2026-01-11
W240,131000,2026-01-11
W245,121000,2026-01-11
W245,120000,2026-01-11
W250,143000,2026-01-11
W235,129000,2026-01-11
W230,127000,2026-01-11
W245,120000,2026-01-11
W265,137000,2026-01-11
W235,129000,2026-01-11
W265,137000,2026-01-11
W235,130000,2026-01-11
W290,200000,2026-01-11
W245,121000,2026-01-11
W230,128000,2026-01-11
W240,133000,2026-01-11
W235,129000,2026-01-11
W235,130000,2026-01-11
W245,121000,2026-01-11
W270,160000,2026-01-12
W230,133000,2026-01-12
W240,131000,2026-01-12
W230,134000,2026-01-12
W275,173000,2026-01-12
W235,135000,2026-01-12
W230,134000,2026-01-12
W280,184000,2026-01-12
W245,122000,2026-01-12
W275,173000,2026-01-12
W265,146000,2026-01-12
W230,132000,2026-01-12
W245,121000,2026-01-12
W240,131000,2026-01-12
W250,143000,2026-01-12
W220,108000,2026-01-12
W235,130000,2026-01-12
W230,129000,2026-01-12
W240,130000,2026-01-12
W230,131000,2026-01-12
W245,121000,2026-01-12
W240,133000,2026-01-12
W245,121000,2026-01-12
W225,125000,2026-01-12
W230,132000,2026-01-12
W285,184000,2026-01-12
W245,122000,2026-01-12
W235,129000,2026-01-12
W225,125000,2026-01-12
W255,148000,2026-01-12
W240,129000,2026-01-13
W270,161000,2026-01-13
W240,129000,2026-01-13
W265,144000,2026-01-13
W245,120000,2026-01-13
W240,130000,2026-01-13
W240,130000,2026-01-13
W270,160000,2026-01-13
W245,121000,2026-01-13
W245,120000,2026-01-13
W235,131000,2026-01-13
W235,131000,2026-01-13
W245,122000,2026-01-13
W240,130000,2026-01-13
W225,125000,2026-01-13
W245,121000,2026-01-13
W250,145000,2026-01-13
W285,165000,2026-01-13
W245,120000,2026-01-13
W260,145000,2026-01-13
W220,109000,2026-01-13
W235,130000,2026-01-13
W245,120000,2026-01-13
W245,121000,2026-01-13
W275,244000,2026-01-13
W260,147000,2026-01-13
W220,114000,2026-01-13
W230,133000,2026-01-14
W245,124000,2026-01-14
W275,173000,2026-01-14
W285,197000,2026-01-14
W240,128000,2026-01-14
W235,132000,2026-01-14
W245,124000,2026-01-14
W245,125000,2026-01-14
W265,144000,2026-01-14
W260,147000,2026-01-14
W250,141000,2026-01-14
W265,144000,2026-01-14
W240,128000,2026-01-14
W245,124000,2026-01-14
W245,125000,2026-01-14
W250,142000,2026-01-14
W235,132000,2026-01-14
W245,124000,2026-01-14
W270,165000,2026-01-14
W235,131000,2026-01-14
W235,132000,2026-01-14
W245,123000,2026-01-14
W235,128000,2026-01-14
W250,143000,2026-01-14
W245,123000,2026-01-14
W245,124000,2026-01-14
W265,144000,2026-01-14
W235,131000,2026-01-14
W245,123000,2026-01-14
W245,124000,2026-01-14
W245,124000,2026-01-14
W240,129000,2026-01-14
W240,130000,2026-01-14
W235,131000,2026-01-14
W235,131000,2026-01-14
W260,145000,2026-01-14
W250,142000,2026-01-14
W260,147000,2026-01-14
W235,133000,2026-01-15
W240,130000,2026-01-15
W240,131000,2026-01-15
W245,124000,2026-01-15
W230,135000,2026-01-15
W240,131000,2026-01-15
W240,129000,2026-01-15
W250,140000,2026-01-15
W245,125000,2026-01-15
W230,134000,2026-01-15
W245,123000,2026-01-15
W245,124000,2026-01-15
W240,125000,2026-01-15
W240,128000,2026-01-15
W240,128000,2026-01-15
W245,124000,2026-01-15
W235,133000,2026-01-15
W230,134000,2026-01-15
W240,128000,2026-01-15
W240,128000,2026-01-15
W245,122000,2026-01-15
W240,125000,2026-01-15
W240,130000,2026-01-15
W250,141000,2026-01-15
W240,128000,2026-01-15
W245,121000,2026-01-16
W245,120000,2026-01-16
W290,165000,2026-01-16
W230,133000,2026-01-16
W240,130000,2026-01-16
W250,137000,2026-01-16
W255,146000,2026-01-16
W250,136000,2026-01-16
W235,132000,2026-01-16
W240,130000,2026-01-16
W245,121000,2026-01-16
W255,148000,2026-01-16
W260,146000,2026-01-16
W225,120000,2026-01-16
W290,223000,2026-01-16
W245,121000,2026-01-16
W260,145000,2026-01-16
W265,146000,2026-01-16
W240,131000,2026-01-16
W245,121000,2026-01-16
W240,128000,2026-01-17
W280,182000,2026-01-17
W240,128000,2026-01-17
W255,142000,2026-01-17
W255,144000,2026-01-17
W245,118000,2026-01-17
W290,165000,2026-01-17
W240,129000,2026-01-17
W230,129000,2026-01-17
W245,118000,2026-01-17
W275,146000,2026-01-17
W235,133000,2026-01-17
W245,118000,2026-01-17
W245,120000,2026-01-17
W290,165000,2026-01-17
W245,119000,2026-01-17
W230,133000,2026-01-17
W240,130000,2026-01-17
W265,146000,2026-01-17
W280,165000,2026-01-17
W275,165000,2026-01-17
W260,146000,2026-01-17
W230,134000,2026-01-17
W285,160000,2026-01-18
W275,140000,2026-01-18
W265,143000,2026-01-18
W245,118000,2026-01-18
W250,137000,2026-01-18
W270,141000,2026-01-18
W245,118000,2026-01-18
W240,130000,2026-01-18
W245,117000,2026-01-18
W240,130000,2026-01-18
W245,118000,2026-01-18
W235,133000,2026-01-18
W245,118000,2026-01-18
W240,129000,2026-01-18
W225,119000,2026-01-18
W235,132000,2026-01-18
W240,128000,2026-01-18
W245,118000,2026-01-18
W245,118000,2026-01-18
W240,128000,2026-01-18
W245,117000,2026-01-18
W245,118000,2026-01-18
W230,135000,2026-01-18
W240,129000,2026-01-18
W230,135000,2026-01-18
W235,132000,2026-01-18
W245,118000,2026-01-18
W240,129000,2026-01-18
W220,116000,2026-01-19
W240,127000,2026-01-19
W240,129000,2026-01-19
W235,130000,2026-01-19
W245,117000,2026-01-19
W245,118000,2026-01-19
W240,129000,2026-01-19
W235,130000,2026-01-19
W260,146000,2026-01-19
W240,129000,2026-01-19
W260,146000,2026-01-19
W235,130000,2026-01-19
W230,134000,2026-01-19
W240,127000,2026-01-19
W255,141000,2026-01-19
W245,119000,2026-01-19
W245,118000,2026-01-19
W245,118000,2026-01-19
W245,118000,2026-01-19
W230,133000,2026-01-19
W250,133000,2026-01-19
W285,165000,2026-01-19
W255,140000,2026-01-19
W250,134000,2026-01-19
W245,119000,2026-01-19
W250,135000,2026-01-19
W250,135000,2026-01-19
W245,119000,2026-01-19
W245,119000,2026-01-20
W235,130000,2026-01-20
W255,145000,2026-01-20
W245,116000,2026-01-20
W290,165000,2026-01-20
W275,167000,2026-01-20
W245,125000,2026-01-20
W235,130000,2026-01-20
W250,135000,2026-01-20
W275,165000,2026-01-20
W290,165000,2026-01-20
W240,127000,2026-01-20
W245,119000,2026-01-20
W275,166000,2026-01-20
W245,119000,2026-01-20
W225,119000,2026-01-20
W265,147000,2026-01-20
W245,119000,2026-01-20
W255,145000,2026-01-20
W250,135000,2026-01-20
W240,129000,2026-01-20
W245,119000,2026-01-20
W235,130000,2026-01-20
W280,165000,2026-01-20
W250,135000,2026-01-20
W240,126000,2026-01-20
W245,119000,2026-01-20
W245,118000,2026-01-20
W250,135000,2026-01-21
W245,118000,2026-01-21
W245,118000,2026-01-21
W240,133000,2026-01-21
W250,136000,2026-01-21
W250,136000,2026-01-21
W235,130000,2026-01-21
W225,125000,2026-01-21
W240,134000,2026-01-21
W250,137000,2026-01-21
W250,135000,2026-01-21
W280,164000,2026-01-21
W240,132000,2026-01-21
W225,124000,2026-01-21
W290,165000,2026-01-21
W235,130000,2026-01-21
W245,119000,2026-01-21
W285,194000,2026-01-21
W240,129000,2026-01-21
W240,130000,2026-01-21
W240,131000,2026-01-21
W245,119000,2026-01-21
W230,132000,2026-01-21
W265,144000,2026-01-21
W240,133000,2026-01-21
W270,141000,2026-01-21
W240,131000,2026-01-21
W235,130000,2026-01-21
W240,136000,2026-01-22
W270,170000,2026-01-22
W280,175000,2026-01-22
W245,118000,2026-01-22
W230,131000,2026-01-22
W265,149000,2026-01-22
W240,135000,2026-01-22
W245,118000,2026-01-22
W240,136000,2026-01-22
W235,129000,2026-01-22
W245,119000,2026-01-22
W275,165000,2026-01-22
W245,119000,2026-01-22
W245,119000,2026-01-22
W235,129000,2026-01-22
W250,136000,2026-01-22
W250,136000,2026-01-22
W245,118000,2026-01-22
W240,133000,2026-01-22
W230,132000,2026-01-22
W240,135000,2026-01-22
W255,143000,2026-01-22
W255,147000,2026-01-22
W245,117000,2026-01-23
W275,163000,2026-01-23
W255,148000,2026-01-23
W275,162000,2026-01-23
W230,130000,2026-01-23
W245,117000,2026-01-23
W285,169000,2026-01-23
W255,148000,2026-01-23
W275,161000,2026-01-23
W245,117000,2026-01-23
W245,118000,2026-01-23
W265,144000,2026-01-23
W245,117000,2026-01-23
W255,147000,2026-01-23
W245,117000,2026-01-23
W275,165000,2026-01-23
W240,133000,2026-01-23
W235,130000,2026-01-23
W265,144000,2026-01-23
W220,130000,2026-01-23
W265,168000,2026-01-23
