size,price,date
W285,126000,2026-01-20
W265,129000,2026-01-20
W250,133000,2026-01-20
W275,122000,2026-01-20
W270,123000,2026-01-20
W270,121000,2026-01-20
W270,124000,2026-01-20
W285,125000,2026-01-20
W280,139000,2026-01-20
W255,130000,2026-01-21
W270,126000,2026-01-21
W275,123000,2026-01-21
W265,123000,2026-01-21
W235,123000,2026-01-21
W270,126000,2026-01-21
W275,123000,2026-01-21
W230,135000,2026-01-21
W245,128000,2026-01-21
W265,131000,2026-01-21
W270,127000,2026-01-21
W275,123000,2026-01-21
W270,125000,2026-01-21
W265,121000,2026-01-21
W250,129000,2026-01-21
W270,125000,2026-01-21
W280,134000,2026-01-21
W270,125000,2026-01-21
W275,122000,2026-01-21
W280,135000,2026-01-21
W240,128000,2026-01-21
W270,118000,2026-01-21
W270,125000,2026-01-21
W270,134000,2026-01-21
W290,178000,2026-01-21
W265,131000,2026-01-21
W275,122000,2026-01-21
W245,129000,2026-01-21
W240,126000,2026-01-21
W265,130000,2026-01-21
W260,129000,2026-01-21
W240,128000,2026-01-21
W270,127000,2026-01-21
W265,132000,2026-01-21
W290,171000,2026-01-21
W230,136000,2026-01-21
W275,122000,2026-01-21
W250,134000,2026-01-21
W275,123000,2026-01-21
W270,127000,2026-01-21
W275,132000,2026-01-21
W275,123000,2026-01-21
W235,124000,2026-01-21
W240,127000,2026-01-21
W265,131000,2026-01-21
W265,130000,2026-01-21
W260,127000,2026-01-21
W270,124000,2026-01-21
W285,126000,2026-01-21
W255,137000,2026-01-21
W275,122000,2026-01-21
W255,137000,2026-01-21
W235,124000,2026-01-21
W240,127000,2026-01-21
W235,124000,2026-01-21
W235,123000,2026-01-21
W240,127000,2026-01-21
W285,125000,2026-01-21
W270,120000,2026-01-21
W265,121000,2026-01-21
W270,120000,2026-01-21
W275,122000,2026-01-21
W225,123000,2026-01-21
W250,129000,2026-01-21
W280,133000,2026-01-21
W275,127000,2026-01-21
W260,129000,2026-01-21
W290,171000,2026-01-21
W275,119000,2026-01-21
W260,130000,2026-01-21
W270,124000,2026-01-21
W270,124000,2026-01-21
W275,121000,2026-01-21
W280,134000,2026-01-21
W260,130000,2026-01-21
W265,130000,2026-01-21
W265,130000,2026-01-21
W250,134000,2026-01-21
W275,123000,2026-01-21
W240,127000,2026-01-21
W275,121000,2026-01-21
W265,122000,2026-01-21
W275,121000,2026-01-21
W255,137000,2026-01-21
W275,121000,2026-01-21
W285,125000,2026-01-21
W250,133000,2026-01-21
W235,123000,2026-01-21
W270,123000,2026-01-21
W280,134000,2026-01-21
W270,124000,2026-01-22
W260,123000,2026-01-22
W265,127000,2026-01-22
W260,130000,2026-01-22
W290,179000,2026-01-22
W240,130000,2026-01-22
W235,123000,2026-01-22
W280,139000,2026-01-22
W260,129000,2026-01-22
W255,136000,2026-01-22
W275,124000,2026-01-22
W275,124000,2026-01-22
W250,133000,2026-01-22
W280,138000,2026-01-22
W270,126000,2026-01-22
W280,130000,2026-01-22
W250,132000,2026-01-22
W240,130000,2026-01-22
W270,126000,2026-01-22
W260,129000,2026-01-22
W285,126000,2026-01-22
W275,124000,2026-01-22
W270,127000,2026-01-22
W235,125000,2026-01-22
W235,124000,2026-01-22
W265,127000,2026-01-22
W235,124000,2026-01-22
W250,134000,2026-01-22
W265,131000,2026-01-22
W280,138000,2026-01-22
W265,127000,2026-01-22
W255,128000,2026-01-22
W275,124000,2026-01-22
W270,127000,2026-01-22
W230,135000,2026-01-22
W280,138000,2026-01-22
W250,133000,2026-01-22
W275,121000,2026-01-22
W265,129000,2026-01-22
W265,130000,2026-01-22
W255,136000,2026-01-22
W285,124000,2026-01-22
W280,138000,2026-01-22
W280,138000,2026-01-22
W270,127000,2026-01-22
W270,127000,2026-01-22
W240,128000,2026-01-22
W275,121000,2026-01-22
W265,130000,2026-01-22
W245,128000,2026-01-22
W265,130000,2026-01-22
W260,131000,2026-01-22
W260,130000,2026-01-22
W275,123000,2026-01-22
W260,129000,2026-01-22
W275,123000,2026-01-22
W260,129000,2026-01-22
W240,127000,2026-01-22
W280,136000,2026-01-22
W240,129000,2026-01-22
W265,130000,2026-01-22
W275,123000,2026-01-22
W265,130000,2026-01-22
W280,131000,2026-01-22
W270,127000,2026-01-22
W285,125000,2026-01-22
W265,130000,2026-01-22
W275,121000,2026-01-22
W270,120000,2026-01-22
W285,124000,2026-01-22
W265,126000,2026-01-22
W280,132000,2026-01-22
W275,123000,2026-01-22
W270,126000,2026-01-22
W240,129000,2026-01-22
W240,129000,2026-01-22
W285,124000,2026-01-22
W275,123000,2026-01-22
W265,125000,2026-01-22
W240,129000,2026-01-22
W285,125000,2026-01-22
W260,129000,2026-01-22
W250,131000,2026-01-22
W270,127000,2026-01-23
W235,123000,2026-01-23
W275,122000,2026-01-23
W280,136000,2026-01-23
W240,133000,2026-01-23
W265,130000,2026-01-23
W235,123000,2026-01-23
W270,125000,2026-01-23
W275,123000,2026-01-23
W280,138000,2026-01-23
W270,124000,2026-01-23
W245,124000,2026-01-23
W250,133000,2026-01-23
W250,126000,2026-01-23
W250,125000,2026-01-23
W245,128000,2026-01-23
W245,127000,2026-01-23
W245,127000,2026-01-23
W245,125000,2026-01-23
W240,133000,2026-01-23
W270,127000,2026-01-23
W270,124000,2026-01-23
W265,127000,2026-01-23
W230,137000,2026-01-23
W235,124000,2026-01-23
W240,132000,2026-01-23
W285,127000,2026-01-23
W235,125000,2026-01-23
W235,124000,2026-01-23
W270,129000,2026-01-23
W270,127000,2026-01-23
W230,125000,2026-01-23
W260,125000,2026-01-23
W260,130000,2026-01-23
W260,130000,2026-01-23
W270,128000,2026-01-23
W220,123000,2026-01-23
W270,129000,2026-01-23
W225,124000,2026-01-23
W245,127000,2026-01-23
W265,128000,2026-01-23
W240,132000,2026-01-23
W275,123000,2026-01-23
W265,130000,2026-01-23
W240,132000,2026-01-23
W275,123000,2026-01-23
W270,128000,2026-01-23
W265,132000,2026-01-23
W240,131000,2026-01-23
W240,129000,2026-01-23
W285,125000,2026-01-23
W265,129000,2026-01-23
W265,128000,2026-01-23
W275,123000,2026-01-23
W270,128000,2026-01-23
W255,128000,2026-01-23
W280,138000,2026-01-23
W235,124000,2026-01-23
